rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40158,38972,39802,40000,40118,40079,40237,39802
40356,38893,39565,39960,40079,40039,40197,39960
39525,38577,39407,39881,40000,39960,39763,39881
38933,38182,39446,39881,40039,40039,39328,39723
38814,36442,39486,39960,40000,40039,39328,39723
38854,36838,39684,39921,39802,39960,39525,39960
38893,40000,40000,39842,39802,39960,39565,40000
38656,42411,40316,39842,39723,39763,39565,39881
38695,43004,40316,39921,39802,39565,39446,39881
38577,42727,40158,40000,40158,39605,39486,39723
39446,42292,40039,39960,40237,39565,39525,39684
40830,41976,40079,39802,39881,39407,39605,39881
41699,41383,40197,39881,39921,39763,39842,39960
41304,40356,40197,40197,40237,40632,40356,39525
40988,39921,39921,40118,40079,40672,40316,39130
41897,39842,39723,39921,39921,40356,40039,39446
42450,39842,39684,39842,40079,40079,39723,40039
41502,39407,39605,39723,39881,39565,39446,40237
