rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40197,43360,41146,39684,39644,39644,39763,40039
40276,42925,42095,39881,39802,39605,39763,40079
40435,41502,42055,39921,39802,39249,39684,40039
40197,39802,41383,39802,39684,38854,39565,40000
40118,38419,40593,39763,39684,39012,39644,39960
40158,37668,39881,39921,39842,39763,39802,40000
40000,37786,39486,40197,40118,40276,39881,40118
39842,38024,39249,40237,40474,40632,39921,40079
39605,37707,39209,40158,40316,40711,39723,39881
39328,37707,39328,39723,39842,40316,39644,39605
39328,39842,39288,39249,39486,40000,39565,39407
39723,41541,39367,39209,39367,39723,39605,39446
40197,42174,39842,39486,39644,39802,39565,39644
40356,42648,39565,39723,39802,39960,39644,39960
40197,40711,38379,39486,39723,39960,39723,40039
39960,37154,38182,39209,39644,39605,39684,39881
39525,36008,39328,39288,39644,39525,39605,39842
39249,37786,40316,39644,39921,39565,39605,39723
39249,40118,40632,40118,40000,39565,39644,39644
39170,41265,40395,40356,40079,39605,39644,39644
38854,41383,39960,40356,40079,39723,39644,39763
39288,41186,39921,40356,40118,39763,39723,39960
39802,41265,40237,40000,39921,39644,39684,39921
39960,41541,40751,39565,39644,39565,39525,39723
39842,41265,41107,39170,39486,39486,39486,39605
39763,40356,40909,39288,39486,39407,39446,39684
39842,39644,40790,39605,39723,39525,39605,39763
39960,39525,40514,39842,39723,39644,39644,39921
39842,39921,39921,39842,39565,39605,39525,39881
39446,40553,38933,39881,39842,39921,39684,39802
39407,40751,38063,39723,39960,40237,39842,39921
39802,40711,37865,39605,39842,40158,39842,40000
40276,41067,38379,39842,40079,40276,40039,40197
40474,42016,39407,40158,40593,40553,40158,40316
40514,41541,40000,40079,40632,40514,39921,40316
40553,39644,40158,39763,40000,40197,39684,40118
40435,38340,40356,39723,39842,39881,39565,39881
40197,38419,40790,40039,39842,39684,39525,39763
39763,39328,41067,40197,39802,39605,39446,39644
38854,39407,40395,40000,39723,39525,39367,39288
38735,38893,39605,40000,39605,39525,39486,39209
39486,39407,39288,39921,39644,39565,39605,39446
39367,39763,38972,39881,39921,39881,39684,39525
38300,38933,38933,39842,40197,39960,39644,39565
37075,38340,38972,39605,40079,39802,39525,39565
37747,39446,39051,39209,39565,39644,39644,39723
39565,40158,39763,39130,39288,39723,39763,39842
40790,39842,40830,39328,39407,39763,39723,39921
40948,40830,41423,39723,39763,39921,39763,40079
40672,40435,40988,40158,40276,40158,39802,40158
40672,38300,39960,40237,40356,40079,39723,40197
40830,38735,39051,39921,40039,39960,39763,40158
40751,40711,38933,39763,39802,39960,39802,40237
40751,39960,39446,39921,40158,40079,39842,40356
40632,38300,40079,39921,40197,40039,39842,40197
39881,39644,40356,39802,40079,39842,39723,39684
39012,41699,40751,39881,40118,40000,39644,39407
38814,42806,41027,39842,40118,40316,39684,39486
39091,43004,41383,39684,40039,40395,39881,39723
39328,42411,41620,39605,39802,40158,39802,39802
39446,40869,41541,39486,39446,39921,39525,39723
39525,38577,41620,39367,39130,39525,39288,39565
39328,36442,41146,39407,39170,39209,39170,39525
39328,35296,40237,39723,39565,39130,39209,39684
39723,35533,39209,40000,39802,39130,39486,39881
39921,37944,38577,40118,39960,39407,39763,39960
39921,40593,38024,39960,40079,39881,39960,39802
39921,41699,37193,39723,39881,39802,39960,39881
40118,41146,36759,39644,39723,39565,39921,40000
40316,38854,36956,39723,39842,39605,39881,40158
40079,37470,37391,39960,40079,39881,39763,40000
39012,39328,38419,39881,39921,40079,39763,39684
38814,41146,39605,39684,39960,40395,39802,39763
39684,40988,40197,39525,39960,40474,39842,39960
40316,39960,40751,39091,39288,39565,39446,39763
40711,39249,41739,39012,38933,38972,39367,39921
40751,39328,42253,39209,39012,39288,39486,40395
39842,40276,42174,39605,39328,39684,39565,40276
38735,41858,41818,40079,40197,40039,39644,39288
39012,42292,41186,40395,40593,40118,39605,38142
38458,41304,40316,40197,40356,39960,39486,38024
38616,40395,39763,39921,39802,39644,39644,39328
41225,40158,39802,39921,39565,39565,39921,40948
42688,39605,39842,40118,39763,39881,40000,41620
41581,37747,39763,40237,40356,40474,40039,40988
40158,36798,39407,40435,41027,40869,39881,39802
39328,37865,38735,40118,40830,40395,39763,39565
39170,39605,38419,39605,40079,39842,39763,40158
39091,40593,38498,39170,39209,39407,39763,40514
38419,40079,38577,39288,39249,39288,39525,39802
37865,39684,38616,39565,39249,39012,39091,38458
36996,40909,38695,39644,39170,38814,38972,37905
36996,42016,38616,39644,39446,39446,39367,38735
39644,42174,38972,39802,40079,40356,39881,39960
41976,41344,39881,40039,40553,40948,40118,40593
42253,40079,40711,40158,40632,40988,40079,40593
41502,39170,41067,40039,40356,40553,40000,40316
